Gene,XGB_Rank,AE_Rank,Combined_Score
RP11-557C18.4,0.0,0.46474603,0.23237301
PITHD1,0.00041616682,0.46429512,0.23235564
CTB-31O20.9,0.0,0.46467093,0.23233546
DENND1C,0.0,0.46465683,0.23232841
DEDD,0.0,0.464492,0.232246
DIDO1,0.0,0.4644048,0.2322024
SLC24A3,0.0,0.4643861,0.23219305
AC010642.1,0.0,0.46428618,0.23214309
RGS6,0.0,0.46411136,0.23205568
TM7SF3,0.0,0.46397704,0.23198852
DISP1,0.0,0.463931,0.2319655
ELL,0.0,0.46384367,0.23192184
PCDH9-AS1,0.0,0.4637818,0.2318909
FUS,0.0,0.46375751,0.23187876
ILF3-AS1,0.0,0.46374846,0.23187423
CTC-498J12.3,0.0,0.46368217,0.23184109
NOL11,0.0,0.46366906,0.23183453
CBX5,0.0,0.4636593,0.23182964
CLNS1A,0.0,0.4636535,0.23182675
RFC2,0.0,0.46362647,0.23181324
RP11-216P16.2,0.0,0.4635821,0.23179105
ATG4C,0.0,0.46353072,0.23176536
SNHG12,0.0,0.46352798,0.23176399
ARRDC4,0.0,0.46350488,0.23175244
RP1-111C20.3,0.0,0.46342438,0.23171219
RBFOX3,0.0,0.46337673,0.23168837
SLC48A1,0.0,0.46333423,0.23166712
RBM39,0.0,0.46328527,0.23164263
RP11-830F9.5,0.0,0.4632402,0.2316201
DHX8,0.0,0.46314046,0.23157023
CST7,0.0,0.462969,0.2314845
FAM83C-AS1,0.0,0.4628823,0.23144116
SEPHS2,0.0,0.46281493,0.23140746
SNRNP35,0.0,0.46234387,0.23117194
PLA2G12A,0.0,0.46227962,0.23113981
MUM1,0.0,0.46216783,0.23108391
ZMAT3,0.0,0.4620761,0.23103805
RP11-197N18.7,0.0,0.46205541,0.23102771
ZC3H15,0.0,0.46193597,0.23096798
R3HDM2,0.0,0.46176293,0.23088147
TADA2A,0.0,0.4617621,0.23088105
NFATC1,0.0,0.4617408,0.2308704
PWP1,0.0,0.4616326,0.2308163
LRRIQ3,0.0,0.46156478,0.23078239
NSMAF,0.0,0.46146196,0.23073098
CD82,0.0,0.46131533,0.23065767
SLC35A2,0.0,0.46130237,0.23065118
MYCBP2,0.0,0.4613008,0.2306504
TMEM165,0.0,0.46129394,0.23064697
FBXL14,0.0,0.4612332,0.2306166
MPC2,0.0,0.46122286,0.23061143
PRPS2,0.0,0.46118364,0.23059182
CDK16,0.0,0.46117336,0.23058668
DNAJA3,0.0,0.46101302,0.23050651
RP11-308N19.1,0.0,0.460886,0.230443
LBR,0.0,0.46087876,0.23043938
KCNA5,0.0,0.46084815,0.23042408
PCSK7,0.0,0.46063596,0.23031798
C19orf52,0.0,0.4606235,0.23031175
NUP54,0.0,0.46055236,0.23027618
ELP6,0.0,0.46052164,0.23026082
FHL1,0.0,0.46043974,0.23021987
ZBTB41,0.0,0.46030208,0.23015104
FN3KRP,0.0,0.46024904,0.23012452
CWC15,0.0,0.4601229,0.23006146
DCAF5,0.0,0.45983508,0.22991754
GNLY,0.0,0.45976615,0.22988307
MYOM2,0.0,0.45973688,0.22986844
AP003419.16,0.0,0.45957065,0.22978532
TGFB1I1,0.0,0.4595023,0.22975115
ANTXR2,0.0,0.4594819,0.22974095
NAA20,0.0,0.45940748,0.22970374
ACTA2-AS1,0.0,0.4593829,0.22969145
RP11-544A12.4,0.0,0.45934218,0.22967109
SOX13,0.0,0.4593272,0.2296636
NDUFA10,0.0,0.45925122,0.22962561
GINM1,0.0,0.45924067,0.22962034
SERPINE1,0.0,0.45893735,0.22946867
UBAC2,0.0,0.4589037,0.22945185
SCAI,0.0,0.45858583,0.22929291
TTN-AS1,0.0,0.4585648,0.2292824
CHST8,0.0,0.4584826,0.2292413
HBA2,0.0,0.45846242,0.22923121
ZNF333,0.0,0.45826223,0.22913112
NUPL2,0.0,0.45822018,0.22911009
KCNJ14,0.0,0.45777655,0.22888827
AEBP1,0.0,0.4577477,0.22887385
KCNH3,0.0,0.45759246,0.22879623
STK17A,0.0,0.45757347,0.22878674
DEXI,0.0,0.45754978,0.22877489
NR2C2AP,0.0,0.45708448,0.22854224
RBM26-AS1,0.0,0.45706648,0.22853324
TDG,0.0,0.45700276,0.22850138
HSPB11,0.0,0.4568331,0.22841655
FCGBP,0.0,0.45656937,0.22828469
AP4B1-AS1,0.0,0.45615375,0.22807688
PKD2L2,0.0,0.45615128,0.22807564
EML6,0.0,0.4558707,0.22793534
TASP1,0.0,0.4557581,0.22787905
DDI2,0.0,0.455413,0.2277065
KDM4A-AS1,0.0,0.45539334,0.22769667
NIT1,0.0,0.4552553,0.22762765
CTD-2015H6.3,0.0,0.4551682,0.2275841
RIOK2,0.0,0.45495722,0.22747861
MTRF1,0.0,0.45490572,0.22745286
TTPAL,0.0,0.45489973,0.22744986
POLDIP2,0.0,0.45483732,0.22741866
CD2,0.0,0.4547855,0.22739275
TMEM55A,0.0,0.45474878,0.22737439
RP11-88H9.2,0.0,0.45473367,0.22736683
NMNAT3,0.0,0.45455793,0.22727896
SLC25A12,0.0,0.4545429,0.22727145
RNF113A,0.0,0.45444828,0.22722414
RP11-430B1.2,0.0,0.45432353,0.22716177
RABL2B,0.0,0.45423788,0.22711894
ENTPD3-AS1,0.0,0.45422897,0.22711448
PLEKHA1,0.0,0.45415533,0.22707766
GIMAP5,0.0,0.45409748,0.22704874
SCGB3A1,0.0,0.4539545,0.22697724
RP11-252A24.3,0.0,0.45377094,0.22688547
PRUNE,0.0,0.45370945,0.22685473
MRM1,0.0,0.45355284,0.22677642
NFU1,0.0,0.4535446,0.2267723
ZNF560,0.0,0.4533057,0.22665285
ITGA2B,0.0,0.45325872,0.22662936
AC017002.2,0.0,0.45325798,0.22662899
RP11-706O15.1,0.0,0.4531284,0.2265642
HLA-DOB,0.0,0.4529049,0.22645245
C12orf45,0.0,0.4527858,0.2263929
RIC3,0.0,0.45276305,0.22638153
MTIF2,0.0,0.45251602,0.22625801
MRPL43,0.0,0.4524538,0.2262269
CTC-454I21.3,0.0,0.4524416,0.2262208
PDIK1L,0.0,0.4524368,0.2262184
ARHGEF7,0.0,0.45242208,0.22621104
DHX9,0.0,0.45221007,0.22610503
LCN2,0.0,0.45192543,0.22596271
SUCLG2,0.0,0.45178673,0.22589336
FAM173A,0.0,0.45173216,0.22586608
