,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
363,GO_Biological_Process_2023,Positive Regulation Of Protein Polymerization (GO:0032273),1/70,0.0839697437215684,0.1092372349934081,0,0,12.020531400966185,29.77844727950012,PYCARD
364,GO_Biological_Process_2023,Positive Regulation Of Protein Transport (GO:0051222),1/70,0.0839697437215684,0.1092372349934081,0,0,12.020531400966185,29.77844727950012,OAZ1
365,GO_Biological_Process_2023,Myeloid Leukocyte Differentiation (GO:0002573),1/71,0.0851188011585982,0.110396505745091,0,0,11.848214285714286,29.190532473420173,TYROBP
366,GO_Biological_Process_2023,Cholesterol Homeostasis (GO:0042632),1/72,0.0862664748551896,0.1112109977048829,0,0,11.68075117370892,28.621510800477843,NPC2
367,GO_Biological_Process_2023,Negative Regulation Of Catabolic Process (GO:0009895),1/72,0.0862664748551896,0.1112109977048829,0,0,11.68075117370892,28.621510800477843,CST3
368,GO_Biological_Process_2023,Sterol Homeostasis (GO:0055092),1/73,0.0874127663656434,0.112350342355842,0,0,11.517939814814817,28.07053166814748,NPC2
369,GO_Biological_Process_2023,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),1/77,0.0919841426094813,0.1171702768954107,0,0,10.90953947368421,26.031678480011845,S100A6
370,GO_Biological_Process_2023,Positive Regulation Of JNK Cascade (GO:0046330),1/77,0.0919841426094813,0.1171702768954107,0,0,10.90953947368421,26.031678480011845,PYCARD
371,GO_Biological_Process_2023,Regulation Of T Cell Proliferation (GO:0042129),1/77,0.0919841426094813,0.1171702768954107,0,0,10.90953947368421,26.031678480011845,LGALS3
372,GO_Biological_Process_2023,Long-Chain Fatty Acid Metabolic Process (GO:0001676),1/78,0.0931235471667537,0.1179197579508006,0,0,10.767316017316018,25.55975843572736,GPX1
373,GO_Biological_Process_2023,Proteolysis Involved In Protein Catabolic Process (GO:0051603),1/78,0.0931235471667537,0.1179197579508006,0,0,10.767316017316018,25.55975843572736,CTSS
374,GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Membrane (GO:1905477),1/79,0.0942615791008967,0.1179647832022918,0,0,10.628739316239315,25.101698127695773,LGALS3
375,GO_Biological_Process_2023,Positive Regulation Of Catabolic Process (GO:0009896),1/79,0.0942615791008967,0.1179647832022918,0,0,10.628739316239315,25.101698127695773,OAZ1
376,GO_Biological_Process_2023,Positive Regulation Of Cytoskeleton Organization (GO:0051495),1/79,0.0942615791008967,0.1179647832022918,0,0,10.628739316239315,25.101698127695773,PYCARD
377,GO_Biological_Process_2023,Negative Regulation Of Cellular Component Organization (GO:0051129),1/79,0.0942615791008967,0.1179647832022918,0,0,10.628739316239315,25.101698127695773,LGALS3
378,GO_Biological_Process_2023,Positive Regulation Of Immune Response (GO:0050778),1/80,0.0953982400052786,0.1180070714516164,0,0,10.49367088607595,24.656927579154026,PYCARD
379,GO_Biological_Process_2023,Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),1/80,0.0953982400052786,0.1180070714516164,0,0,10.49367088607595,24.656927579154026,PYCARD
380,GO_Biological_Process_2023,Regulation Of Protein Localization To Plasma Membrane (GO:1903076),1/80,0.0953982400052786,0.1180070714516164,0,0,10.49367088607595,24.656927579154026,LGALS3
381,GO_Biological_Process_2023,Response To Type II Interferon (GO:0034341),1/80,0.0953982400052786,0.1180070714516164,0,0,10.49367088607595,24.656927579154026,AIF1
382,GO_Biological_Process_2023,Cellular Response To Interleukin-1 (GO:0071347),1/81,0.0965335314418881,0.1187251478653107,0,0,10.361979166666666,24.224906921072943,PYCARD
383,GO_Biological_Process_2023,Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088),1/81,0.0965335314418881,0.1187251478653107,0,0,10.361979166666666,24.224906921072943,PYCARD
384,GO_Biological_Process_2023,Epigenetic Regulation Of Gene Expression (GO:0040029),1/83,0.0988000122711018,0.1208183007200902,0,0,10.108231707317072,23.397094838762637,GPX1
385,GO_Biological_Process_2023,Regulation Of NIK/NF-kappaB Signaling (GO:1901222),1/83,0.0988000122711018,0.1208183007200902,0,0,10.108231707317072,23.397094838762637,PYCARD
386,GO_Biological_Process_2023,Positive Regulation Of Protein Localization (GO:1903829),1/85,0.1010610342090092,0.1225329253299036,0,0,9.86656746031746,22.614474985502635,TYROBP
387,GO_Biological_Process_2023,Response To Interleukin-1 (GO:0070555),1/85,0.1010610342090092,0.1225329253299036,0,0,9.86656746031746,22.614474985502635,PYCARD
388,GO_Biological_Process_2023,Defense Response To Gram-positive Bacterium (GO:0050830),1/85,0.1010610342090092,0.1225329253299036,0,0,9.86656746031746,22.614474985502635,LYZ
389,GO_Biological_Process_2023,Regulation Of Type II Interferon Production (GO:0032649),1/87,0.1033166098523801,0.1249138672791488,0,0,9.636143410852712,21.873632377634998,PYCARD
390,GO_Biological_Process_2023,Negative Regulation Of Protein Kinase Activity (GO:0006469),1/88,0.1044423592578321,0.1259192387671892,0,0,9.524904214559388,21.517901093005328,PYCARD
391,GO_Biological_Process_2023,Regulation Of Epithelial Cell Proliferation (GO:0050678),1/91,0.1078114725710848,0.1296160400573716,0,0,9.20601851851852,20.505220529335578,GPX1
392,GO_Biological_Process_2023,Positive Regulation Of Neuron Projection Development (GO:0010976),1/92,0.108931803930084,0.1302313186650166,0,0,9.104395604395604,20.184747726684503,S100A9
393,GO_Biological_Process_2023,Positive Regulation Of Protein Catabolic Process (GO:0045732),1/92,0.108931803930084,0.1302313186650166,0,0,9.104395604395604,20.184747726684503,OAZ1
394,GO_Biological_Process_2023,Positive Regulation Of Cellular Component Biogenesis (GO:0044089),1/93,0.110050784689784,0.1312026068167898,0,0,9.00498188405797,19.872314154794893,LGALS3
395,GO_Biological_Process_2023,Vesicle Organization (GO:0016050),1/94,0.1111684164109228,0.1318007817835871,0,0,8.907706093189963,19.56763781102837,SRGN
396,GO_Biological_Process_2023,Cellular Response To Hormone Stimulus (GO:0032870),1/94,0.1111684164109228,0.1318007817835871,0,0,8.907706093189963,19.56763781102837,CTSS
397,GO_Biological_Process_2023,Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),1/98,0.1156254840416987,0.1367063733973675,0,0,8.538659793814434,18.42129521976745,LGALS3
398,GO_Biological_Process_2023,Axon Development (GO:0061564),1/99,0.1167363938849271,0.1376396049111538,0,0,8.451105442176871,18.151596366550063,S100A6
399,GO_Biological_Process_2023,Protein Complex Oligomerization (GO:0051259),1/100,0.1178459640404217,0.1381865002994534,0,0,8.365319865319865,17.88820673407011,PYCARD
